+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                       ;
+---------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                   ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_memread                                     ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core                                                       ; 43    ; 16             ; 0            ; 16             ; 55     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|intf_ctrl                                                                              ; 6     ; 1              ; 1            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|source                                                                                 ; 53    ; 2              ; 3            ; 2              ; 53     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|sink                                                                                   ; 40    ; 0              ; 3            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst                                                                                        ; 40    ; 7              ; 0            ; 7              ; 53     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q|rx_ciccomp_inst                                                                                                                 ; 37    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICOMP_Q                                                                                                                                 ; 37    ; 2              ; 0            ; 2              ; 49     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ADC_Latch|LPM_ADD_SUB_component|auto_generated                                                                                              ; 26    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ADC_Latch                                                                                                                                   ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_MIXER_I|lpm_mult_component|auto_generated                                                                                                ; 26    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_MIXER_I                                                                                                                                  ; 26    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux710isdr                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|blk1                                                                                                                        ; 27    ; 0              ; 11           ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|blk0                                                                                                                        ; 27    ; 0              ; 11           ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux0136                                                                                                                      ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|m0                                                                                                                          ; 50    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|m1                                                                                                                          ; 50    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux0123                                                                                                                      ; 13    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux0122                                                                                                                      ; 13    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux0220                                                                                                                      ; 24    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux008                                                                                                                       ; 25    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0|ux000                                                                                                                       ; 25    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO|nco_ii_0                                                                                                                             ; 25    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_NCO                                                                                                                                      ; 25    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CIC_I|cic_ii_0|core                                                                                                                      ; 43    ; 16             ; 0            ; 16             ; 39     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CIC_I|cic_ii_0                                                                                                                           ; 30    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CIC_I                                                                                                                                    ; 28    ; 2              ; 0            ; 2              ; 36     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:gen_outp_blk:0:outp_blk                                             ; 49    ; 0              ; 2            ; 0              ; 47     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_mtree_mult1_0_im0_component|auto_generated ; 28    ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_mtree_mult1_0_im4_component|auto_generated ; 25    ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_memr0_dmem|auto_generated           ; 46    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_in0_m0_wi0_wo0_assign_id1_q_13                     ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_xIn_0_13                                           ; 35    ; 1              ; 0            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_16                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_15                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_compute                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_memread                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core                                                      ; 43    ; 16             ; 0            ; 16             ; 55     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|intf_ctrl                                                                             ; 6     ; 1              ; 1            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|source                                                                                ; 53    ; 2              ; 3            ; 2              ; 53     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst|sink                                                                                  ; 40    ; 0              ; 3            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst|rx_ciccomp_0002_ast_inst                                                                                       ; 40    ; 7              ; 0            ; 7              ; 53     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I|rx_ciccomp_inst                                                                                                                ; 37    ; 0              ; 0            ; 0              ; 49     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICCOMP_I                                                                                                                                ; 37    ; 2              ; 0            ; 2              ; 49     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; RX_CICFIR_GAINER                                                                                                                            ; 103   ; 1              ; 0            ; 1              ; 34     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FLASH                                                                                                                                       ; 12    ; 8              ; 0            ; 8              ; 20     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CIC_Q|cic_ii_0|core                                                                                                                      ; 37    ; 17             ; 0            ; 17             ; 23     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CIC_Q|cic_ii_0                                                                                                                           ; 23    ; 1              ; 0            ; 1              ; 20     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CIC_Q                                                                                                                                    ; 22    ; 5              ; 0            ; 5              ; 20     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_MIXER_Q|lpm_mult_component|auto_generated                                                                                                ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_MIXER_Q                                                                                                                                  ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux710isdr                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|blk1                                                                                                                        ; 35    ; 0              ; 15           ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|blk0                                                                                                                        ; 35    ; 0              ; 15           ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux0136                                                                                                                      ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|m0                                                                                                                          ; 66    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|m1                                                                                                                          ; 66    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux0123                                                                                                                      ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux0122                                                                                                                      ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux0220                                                                                                                      ; 24    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux008                                                                                                                       ; 25    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0|ux000                                                                                                                       ; 25    ; 0              ; 0            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO|nco_ii_0                                                                                                                             ; 25    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_NCO                                                                                                                                      ; 25    ; 2              ; 0            ; 2              ; 33     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:gen_outp_blk:0:outp_blk                                             ; 33    ; 0              ; 2            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_accum_p1_of_2_q_17                       ; 23    ; 1              ; 0            ; 1              ; 20     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_mtree_mult1_0_q_16                       ; 27    ; 21             ; 0            ; 21             ; 24     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_16                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_aseq_q_16                                ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_mtree_mult1_0_component|auto_generated     ; 26    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_memr0_dmem|auto_generated           ; 30    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_in0_m0_wi0_wo0_assign_id1_q_13                     ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_xIn_0_13                                           ; 19    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_15                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_14                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_compute                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_memread                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core                                                      ; 27    ; 16             ; 0            ; 16             ; 39     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|intf_ctrl                                                                             ; 6     ; 1              ; 1            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|source                                                                                ; 37    ; 2              ; 3            ; 2              ; 37     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|sink                                                                                  ; 24    ; 0              ; 3            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst                                                                                       ; 24    ; 7              ; 0            ; 7              ; 37     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q|tx_ciccomp_inst                                                                                                                ; 21    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_Q                                                                                                                                ; 19    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:gen_outp_blk:0:outp_blk                                             ; 33    ; 0              ; 2            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_accum_p1_of_2_q_17                       ; 23    ; 1              ; 0            ; 1              ; 20     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_mtree_mult1_0_q_16                       ; 27    ; 21             ; 0            ; 21             ; 24     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_16                             ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_aseq_q_16                                ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; TX_CICCOMP_I|tx_ciccomp_inst|tx_ciccomp_0002_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_mtree_mult1_0_component|auto_generated     ; 26    ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
